source,url_domain
0223.com.ar,0223.com.ar
10News – ABC San Diego KGTV,10news.com
10TV - WBNS,10tv.com
11Alive,11alive.com
12 News,12news.com
12NewsNow,12newsnow.com
WTVG,13abc.com
13News Now - WVEC,13newsnow.com
WHAM,13wham.com
13 WMAZ,13wmaz.com
WFIE,14wfie.com
180graus,180graus.com
20 Minutes,20minutes.fr
20minutos.es,20minutos.es
WPNT,22thepoint.com
24 Horas. El Diario sin Límites,24-horas.mx
24horas.cl,24horas.cl
27east.com,27east.com
2HaveFunIn Minnesota,2havefun.com
WSEE,35wsee.com
Groton Independent,397news.com
KIAH,39online.com
KMTV 3 News Now,3newsnow.com
KHOG,4029tv.com
417 Magazine,417mag.com
KGPE,47tv.com
Barry County Advertiser,4bcaonline.com
KTVX,4utah.com
WPGA,58abc.com
KFSM,5newsonline.com
6abc Action News,6abc.com
7Day News Journal,7daydaily.com
8 News Now,8newsnow.com
97X WXLP Quad Cities,97x.com
WIYY-FM,98online.com
WWTV,9and10news.com
9NEWS (KUSA),9news.com
A24.com,a24.com
Ann Arbor independent,a2indy.com
صحيفة الشرق الأوسط,aawsat.com
Abante News Online,abante.com.ph
Visitors Information,abbington.com
KAQY,abc-11.com
ABC7 Southwest Florida,abc-7.com
ABC.es,abc.es
ABC News,abc.net.au
ABC10,abc10.com
WBUP,abc10up.com
ABC11 WTVD,abc11.com
ABC12: First In-Depth Everywhere WJRT-TV,abc12.com
ABC13 Houston,abc13.com
ABC15 Arizona,abc15.com
WLQP-LP,abc18lima.com
WKPT,abc19.tv
WVNY,abc22.com
WKEF,abc22now.com
WJCL,abc22tv.com
WATM,abc23.com
WPTY,abc24.com
WEHT,abc25.com
WGNO,abc26.com
abc27 News,abc27.com
ABC30 Action News,abc30.com
ABC 33/40,abc3340.com
WXLV,abc45.com
WLAJ,abc53.com
ABC57,abc57.com
ABC6 News,abc6.com
WSYX ABC 6,abc6onyourside.com
ABC7,abc7.com
ABC 7 Amarillo,abc7amarillo.com
ABC 7 Chicago,abc7chicago.com
ABC7 News,abc7news.com
ABC7NY,abc7ny.com
ABC News Politics,abcn.ws
WCIV | ABC News 4,abcnews4.com
Anoka County Union,abcnewspapers.com
KDNL,abcstlouis.com
Aberdeen American News,aberdeennews.com
Reflector-Chronicle,abilene-rc.com
About Stark,aboutstark.com
ABP News,abplive.in
Albuquerque Journal,abqjournal.com
Albuquerque the Magazine,abqthemag.com
ABS-CBN News,abs-cbn.com
Acadiana Gazette,acadianagazette.net
Access Press,accesspress.org
Adams County Free Press,acfreepress.com
Inquirer and Mirror,ack.net
A Crítica,acritica.com
Action News Jax,actionnewsjax.com
Action News Now,actionnewsnow.com
actu.fr,actu.fr
The Optimist Online,acuoptimist.com
AD.nl,ad.nl
Ada Herald,adaherald.com
Adair County Free Press,adaircountyfreepress.com
Adair Progress,adairprogress.com
Adair County Community Voice,adairvoice.com
Adams County Journal,adamsc.com
Addison Co. Independent,addisonindependent.com
Dallas County News,adelnews.com
Adirondack Daily Enterprise,adirondackdailyenterprise.com
Adirondack Express,adirondackexpress.com
Alaska Dispatch News,adn.com
Adnkronos,adnkronos.com
ADN,adnradio.cl
Advance-Titan,advancetitan.com
Advertiser-Tribune,advertiser-tribune.com
Advertiser Democrat,advertiserdemocrat.com
Advertiser-Gleam,advertisergleam.com
Advertiser-News,advertisernewsnorth.com
Advisor & Chronicle,advisor-chronicle.com
Fort Bragg Advocate-News,advocate-news.com
The Advocate,advocate-online.net
Monroe County Advocate,advocateanddemocrat.com
Clay County Advocate-Press,advocatepress.com
KETS,aetn.org
Baltimore Afro American,afro.com
Afrotech,afrotech.com
Aftonbladet,aftonbladet.se
Ag Alert,agalert.com
Ag Journal,agjournalonline.com
Meganoticias,ahoranoticias.cl
Ahwatukee Foothills News,ahwatukee.com
Aiken Standard,aikenstandard.com
Ainsworth Star-Journal,ainsworthnews.com
Air Force Times,airforcetimes.com
AJC,ajc.com
Apache Junction News,ajnews.com
AK Business Monthly,akbizmag.com
Akhbarak.net,akhbarak.net
أخبار الآن - Akhbar Al Aan,akhbaralaan.net
بوابة أخبار اليوم,akhbarelyom.com
Akhbarona,akhbarona.com
Akron.com,akron.com
Hometowner,akronhometowner.com
Akron Legal News,akronlegalnews.com
Akron Life,akronlife.com
Akron News-Reporter,akronnewsreporter.com
KATN,aksuperstation.com
al.com,al.com
Alabama Messenger,alabamamessenger.com
WNCF,alabamanews.net
Alachua Today,alachuatoday.com
Alameda Sun,alamedasun.com
Alamogordo Daily News,alamogordonews.com
Valley Courier,alamosanews.com
كل العرب kul alarab,alarab.com
قناة العربية  Al Arabiya,alarabiya.net
Whalesong,alaska.edu
Alaska Journal of Commerce,alaskajournal.com
KUAC,alaskaone.org
Alaska Star,alaskastar.com
Albany Enterprise,albanyenterprise.com
Albany Herald,albanyherald.com
Albert Lea Tribune,albertleatribune.com
Albia Union-Republican,albianews.com
Albion News,albionnewsonline.com
Pleiad,albionpleiad.com
Alcona County Review,alconareview.com
Alden Advance,aldenadvance.com
Alden Advertiser,aldenadvertisernews.com
Times Record,aledotimesrecord.com
Alestle,alestlelive.com
Alexandria Gazette Packet,alexandriagazette.com
Alexander City Outlook,alexcityoutlook.com
Alexandria Times,alextimes.com
Algona Upper Des Moines,algona.com
Alianza Metropolitan,alianzanews.com
Weekly Alibi,alibi.com
Alice Echo-News,alicetx.com
AljadeedOnline,aljadeed.tv
Al Jazeera English,aljazeera.com
Al Jazeera Channel - قناة الجزيرة,aljazeera.net
Al Joumhouria الجمهورية,aljoumhouria.com
Allegan County News,allegannews.com
Alleghany News,alleghanynews.com
Alliance Times-Herald,alliancetimes.com
The Independent Florida Alligator,alligator.org
Freeman's Journal,allotsego.com
Almaden Times Weekly,almadentimes.com
Almanac,almanacnews.com
