,url_domain,frac_high_viewers
0,youtube.com,0.1433389544688027
1,npr.org,0.08789625360230548
2,nytimes.com,0.06528662420382166
3,dailywire.com,0.11949685534591195
4,cnn.com,0.028875379939209727
5,ranker.com,0.03877551020408163
6,buzzfeed.com,0.05504587155963303
7,washingtonpost.com,0.02922077922077922
8,msnbc.com,0.06093189964157706
9,nbcnews.com,0.025757575757575757
10,amazon.com,0.020858895705521473
11,huffpost.com,0.029535864978902954
12,thehill.com,0.021739130434782608
13,westernjournal.com,0.072
14,foxnews.com,0.027190332326283987
15,theonion.com,0.04678362573099415
16,abcnews.go.com,0.015180265654648957
17,bbc.com,0.014
18,theatlantic.com,0.016706443914081145
19,cnet.com,0.07608695652173914
20,newsandguts.com,0.058333333333333334
21,bipartisanreport.com,0.10526315789473684
22,crafty.diply.com,0.031914893617021274
23,iflscience.com,0.04195804195804196
24,newsmax.com,0.06060606060606061
