,url_domain,frac_high_viewers
0,youtube.com,0.10723192019950124
1,dailywire.com,0.08223684210526316
2,npr.org,0.07125307125307126
3,iflscience.com,0.05825242718446602
4,newsandguts.com,0.05405405405405406
5,theblaze.com,0.0481283422459893
6,msnbc.com,0.04738154613466334
7,facebook.com,0.04184397163120567
8,nytimes.com,0.03965702036441586
9,theonion.com,0.03932584269662921
10,washingtonpost.com,0.034753363228699555
11,foxnews.com,0.031818181818181815
12,buzzfeed.com,0.02702702702702703
13,cnn.com,0.02372479240806643
14,atlasobscura.com,0.02040816326530612
15,amazon.com,0.01921229586935639
16,ranker.com,0.01804123711340206
17,thehill.com,0.016697588126159554
18,huffpost.com,0.016216216216216217
19,abc7ny.com,0.015463917525773196
20,rumble.com,0.014354066985645933
21,axios.com,0.014150943396226415
22,newyorker.com,0.013559322033898305
23,pbs.org,0.013368983957219251
24,wsj.com,0.012953367875647668
